id,project_id,license
1,1,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
2,2,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
3,3,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
4,4,Controlled Access | https://qdr.syr.edu/policies/qdr-restricted-access-conditions
5,5,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
6,6,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
7,7,Controlled Access | https://qdr.syr.edu/policies/qdr-restricted-access-conditions
8,8,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
9,9,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
10,10,Controlled Access | https://qdr.syr.edu/policies/qdr-restricted-access-conditions
11,11,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
12,12,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
13,13,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
14,14,Controlled Access | https://qdr.syr.edu/policies/qdr-restricted-access-conditions
15,15,Standard Access | https://qdr.syr.edu/policies/qdr-standard-access-conditions
16,16,Controlled Access | https://qdr.syr.edu/policies/qdr-restricted-access-conditions
17,17,UNKNOWN
18,18,UNKNOWN
19,19,UNKNOWN
20,20,UNKNOWN
21,21,UNKNOWN
22,22,UNKNOWN
23,23,UNKNOWN
24,24,UNKNOWN
25,25,UNKNOWN
26,26,UNKNOWN
27,27,UNKNOWN
28,28,UNKNOWN
29,29,UNKNOWN
30,30,UNKNOWN
31,31,UNKNOWN
32,32,UNKNOWN
33,33,UNKNOWN
34,34,UNKNOWN
35,35,UNKNOWN
36,36,UNKNOWN
37,37,UNKNOWN
38,38,UNKNOWN
39,39,UNKNOWN
40,40,UNKNOWN
41,41,UNKNOWN
42,42,UNKNOWN
43,43,UNKNOWN
44,44,UNKNOWN
45,45,UNKNOWN
46,46,UNKNOWN
47,47,UNKNOWN
48,48,UNKNOWN
49,49,UNKNOWN
